TRACK: Clinical_Laboratory_Science_BS
URL: https://catalog.unc.edu/undergraduate/programs-study/clinical-laboratory-science-major-bs/

## Requirements
NOTE: In addition to the program requirements, students must
NOTE: For more information, please consult the degree requirements section of the catalog .
NOTE: The schedule of academic work for clinical laboratory science majors includes the following General Education requirements. Students must complete all First-Year Foundation requirements, all Reflection & Integration requirements, and complete at least six Focus Capacity requirements as part of the IDEAs in Action General Education curriculum. In addition, the following prerequisite courses must be completed before entering the Clinical Laboratory Science program:
### Additional Requirements
  BIOL 101 & 101L | Principles of Biology and Introductory Biology Laboratory H, F | 4hrs
RULE: A second biology course ( BIOL 202 or BIOL 103 is highly recommended) 3-4
  CHEM 101 & 101L | General Descriptive Chemistry I and Quantitative Chemistry Laboratory I H, F | 4hrs
  CHEM 102 & 102L | General Descriptive Chemistry II and Quantitative Chemistry Laboratory II H, F | 4hrs
  CHEM 241 | Modern Analytical Methods for Separation and Characterization H | 3hrs
  CHEM 241L | Laboratory in Separations and Analytical Characterization of Organic and Biological Compounds | 1hrs
RULE: One of the following: 3-4
  MATH 130 | Precalculus Mathematics F | hrs
  MATH 231 | Calculus of Functions of One Variable I H, F | hrs
  STOR 151 | Introduction to Data Analysis | hrs
NOTE: After admission to the CLS program, students take courses in all the major areas of clinical laboratory science including clinical chemistry, hematology, hemostasis, microbiology, transfusion medicine, and transplantation medicine. Senior students rotate through the clinical laboratories at UNC Hospitals and other laboratories in the state. They also take advanced courses in the clinical laboratory sciences. Honors contracts are available for students in the Honors program.
### Core Requirements
  CLSC 410 | Laboratory Mathematics | 1hrs
  CLSC 410L | Basic and Molecular Laboratory Methods | 2hrs
  CLSC 420 | Urinalysis and Body Fluids | 1hrs
  CLSC 420L | Urinalysis Laboratory | 1hrs
  CLSC 430 | Biochemistry | 3hrs
  CLSC 440 | Hematology I | 2hrs
  CLSC 440L | Hematology I Laboratory | 1hrs
  CLSC 442 | Hematology II | 3hrs
  CLSC 442L | Hematology II Laboratory | 1hrs
  CLSC 450 | Immunology | 3hrs
  CLSC 460 | Special Pathogens | 2hrs
  CLSC 460L | Parasitology and Mycology Laboratory | 1hrs
  CLSC 462 | Clinical Bacteriology | 3hrs
  CLSC 462L | Clinical Bacteriology Laboratory | 2hrs
  CLSC 470 | Clinical Chemistry | 3hrs
  CLSC 470L | Clinical Chemistry Laboratory | 2hrs
  CLSC 480 | Immunohematology | 3hrs
  CLSC 480L | Immunohematology Laboratory | 2hrs
  CLSC 540L | Clinical Hematology Laboratory | 4hrs
  CLSC 542L | Clinical Hemostasis Laboratory | 2hrs
  CLSC 550L | Clinical Immunology Laboratory | 1hrs
  CLSC 560L | Clinical Microbiology Laboratory | 4hrs
  CLSC 570L | Clinical Chemistry Laboratory Rotation | 4hrs
  CLSC 580L | Clinical Immunohematology Laboratory | 4hrs
  CLSC 582L | Clinical Transplantation Medicine Laboratory | 1hrs
  CLSC 620 | Clinical Laboratory Management | 2hrs
  CLSC 630 | Research Methods in Clinical Laboratory Science | 2hrs
  CLSC 670 | Clinical Laboratory Science Educational Methods | 2hrs
